#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,channel_id,total_subscribers,total_views,total_uploads
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds,UC_aEa8K-EOJ3D6gOs7HcyNg,34300000.0,12546286387.0,2143.0
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,29100000.0,20428466444.0,3806.0
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI,UCVtFOytbRpEvzLjvqGG5gxQ,24800000.0,6038154138.0,1250.0
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.1%,Reino Unido,,6.9M,,Ver Perfil,Mister Max,UC_8PAD0Qmi6_gpe77S1Atgg,25200000.0,16786921112.0,1262.0
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly,UC0DZmkupLYwc0yDsfocLh0A,23300000.0,15359426584.0,6968.0
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy,UCcartHVtvAUzfajflyeT_Gg,25600000.0,16650963803.0,1208.0
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa,UC-J-KZfRV8c13fOCkhXdLiQ,25300000.0,16357813374.0,341.0
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.3%,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes,UC6D1L2vxEAg_Vi0JSxMBDgA,26100000.0,19266766485.0,1961.0
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A,UCYVinkwSX7szARULgYpvhLw,19700000.0,7329858755.0,5233.0
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex,UCHwBjRoGO1V-H8QYXjSVHkQ,17300000.0,9825757389.0,373.0
11,Sidemen @sidemen,17M,2.8%,Reino Unido,,5.1M,,Ver Perfil,Sidemen @sidemen,,,,
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Queen Official,UCiMhD4jzUqG-IgPzUmmytRQ,19100000.0,13461296956.0,1646.0
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,Little Mix,UCIvqWqjC4aLvp7zI8hzARrA,16500000.0,8791971235.0,278.0
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,JJ Olatunji,UCGmnsW623G1r-Chmo5RB4Yw,19000000.0,5405246836.0,1551.0
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.2%,Reino Unido,Celebridad,4.2M,,Ver Perfil,F2Freestylers - Ultimate Soccer Skills Channel,UCKvn9VBLAiLiYL4FFJHri6g,13800000.0,3447751452.0,1054.0
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,BBC News,UC16niRr50-MSBwiO3YDb3RA,20000000.0,7268386670.0,32807.0
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,BBC,UCCj956IF62FbT7Gouszaj9w,15600000.0,12796669412.0,32266.0
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,Awakening Music,UCBq5hp6DvwWam2XOXw6lYJA,15700000.0,7168060416.0,1203.0
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,DisneyChannelUK,UCLeuoGy_hUDTBf5Hk0ynrpQ,13700000.0,14902276928.0,4896.0
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.6%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,colinfurze,UCp68_FLety0O-n9QU6phsgw,13300000.0,1841941771.0,432.0
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,11.8M,1.9%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Mrwhosetheboss,UCMiJRAwDNSNzuYeN2uWa0pA,22800000.0,8998416136.0,1928.0
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,11.7M,-,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,TommyInnit,UC5p_l5ZeB_wGjO_yDXwiqvw,15000000.0,2662547453.0,557.0
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,11.6M,0.1%,संयुक्त अधिराज्य,,3.5M,,प्रोफ़ाइल देखें,Morgz,UCBwSufNse8VMBvQM_rCSvgQ,12500000.0,3629753526.0,906.0
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,11.4M,-,संयुक्त अधिराज्य,,3.4M,,प्रोफ़ाइल देखें,Tiana,UC6sSkkemzPjmrzS0Y0V_2zw,11300000.0,3266188914.0,1066.0
